Energy (Hartee),Q(00),Q(01),Q(02),Q(03),Q(04)
1e-09,455706.25654856965,515385.2,360399.3,595622.0,479757.2
1.037532e-09,447518.15006070415,506078.8,353785.4,584771.2,470906.7
1.15838e-09,423459.7036170275,478886.9,334897.2,553383.1,445751.6
1.390236e-09,386541.9965418745,437136.2,305669.8,505124.7,406858.2
1.790403e-09,340400.30061770545,385002.5,269362.8,445011.5,358567.2
2.468195e-09,289600.1979608643,327559.2,229197.7,378677.2,305115.7
3.631047e-09,238901.9519127606,270209.3,189145.7,312336.8,251760.4
5.679283e-09,190899.89970286313,215943.5,151281.5,249704.6,201368.7
9.403585e-09,148259.50020615794,167711.5,117545.7,193936.3,156449.7
1.640298e-08,112179.89809450401,126909.4,89006.6,146787.9,118465.6
2.998156e-08,83083.65453127174,93969.59,65806.53,108651.9,87578.4
5.709071e-08,59977.18367289597,67874.43,47739.58,78579.58,63534.07
1.125544e-07,42642.064992410524,48265.58,33990.02,55898.19,45237.05
2.282478e-07,29879.149779721185,33828.28,23874.16,39202.29,31772.42
4.728686e-07,20697.995199095418,23442.81,16594.32,27195.74,22083.95
9.938428e-07,14226.544889158566,16119.85,11448.09,18719.69,15234.7
2.103932e-06,9736.977493266906,11037.89,7869.785,12832.57,10471.61
4.453955e-06,6654.487045527892,7548.603,5411.141,8790.805,7199.373
9.361019e-06,4556.183021635474,5173.163,3733.2,6038.11,4967.16
1.939354e-05,3140.227984558536,3568.65,2595.569,4176.167,3452.413
3.932792e-05,2184.218535277289,2485.212,1824.334,2916.307,2426.321
7.753506e-05,1528.4534908970104,1742.7,1301.421,2057.524,1729.914
0.0001476418,1109.0304460045172,1264.422,929.0959,1486.433,1239.879
0.0002698614,842.6532019404609,955.6008,701.7933,1113.74,927.6885
0.0004707281,640.5683477226092,727.8841,543.9514,854.2114,718.5829
0.0007794174,503.7237045691235,572.9359,427.8076,672.312,566.232
0.001219079,407.9434527869075,463.8141,348.1028,544.4686,459.8441
0.001793429,341.25855180249573,387.9744,291.399,455.1952,384.8307
0.002472366,294.44564999999994,334.6489,252.4767,392.4418,332.8832
0.003184014,261.75884999999994,297.5417,225.9085,349.331,297.4742
0.003821312,240.49519800964316,273.4339,208.6986,321.379,274.576
0.004266407,228.47499999999997,259.8247,199.0914,305.6156,261.7908
0.004426532,224.73379999999997,255.5684,196.0065,300.645,257.6757
0.00445114,224.00475097797542,254.7678,195.521,299.7678,257.0471
0.004525546,222.72480000000002,253.2476,194.0743,297.8757,255.1199
0.004651504,218.7259014461561,248.9171,191.9063,293.4646,252.2887
0.004831965,215.8135,245.4892,188.8165,289.005,248.1679
0.005071109,214.79449999999994,243.6821,186.6646,285.52,244.4398
0.005374385,212.10989999999995,240.6213,179.7313,279.6583,236.7541
0.00574855,206.62944999999996,234.0037,171.4921,274.1287,226.2406
0.006201692,197.0642,223.2186,166.9082,263.2951,219.217
0.006743214,182.74944999999994,208.8547,166.0632,246.0661,218.2737
0.007383775,167.01129970554712,192.4042,165.9876,227.6912,216.7734
0.008135143,151.55965,174.9831,163.8315,211.894,210.6784
0.009009939,136.36975000000004,157.8068,158.2695,199.08,201.1436
0.01002123,121.24799999999995,141.681,149.4669,187.6762,190.3329
0.01118197,106.72824999999997,127.0936,138.4197,176.2014,179.1504
0.01250417,93.63289999999995,114.2583,126.3371,164.0645,167.5879
0.01399792,82.55289981694052,103.207,114.2752,151.4587,155.5834
0.01567011,73.62849999999996,93.82855,102.9562,138.9224,143.3563
0.01752301,66.68998000000003,85.96414,92.80868,127.0321,131.357
0.01955266,61.36577495729128,79.39457,83.97261,116.1758,120.0302
0.0217473,57.31301491076237,73.94718,76.47407,106.5953,109.7424
0.02408585,54.19956499999999,69.43491,70.20761,98.34001,100.6783
0.02653681,51.78019499999998,65.70703,65.02972,91.36098,92.88339
0.02905763,49.857314999999986,62.61906,60.7887,85.53353,86.31219
0.0315949,48.310889999999986,60.07018,57.33884,80.72631,80.85742
0.03408543,47.055005,57.97463,54.55212,76.80179,76.39137
0.03645847,46.032889999999995,56.26549,52.3218,73.6358,72.787
0.03863885,45.207299999999975,54.89082,50.56103,71.12161,69.92807
0.04055117,44.55425990489561,53.81163,49.20221,69.17301,67.71695
0.0421244,44.058295,52.99889,48.19382,67.7225,66.07501
0.04329684,43.70971499999999,52.43199,47.49854,66.7203,64.94309
0.0440206,43.50261999999999,52.09705,47.09103,66.13212,64.27989
0.04426532,43.43390499999998,51.98626,46.95679,65.93825,64.0615
0.04608107,42.94250992030867,51.20008,46.01054,64.57395,62.52568
0.05190729,41.55922977610527,49.03739,43.48923,60.9151,58.44555
0.06297877,39.47812999999999,45.95517,40.11237,55.99173,53.06645
0.08169455,36.89808499999999,42.42043,36.57061,50.81378,47.6153
0.1121715,33.955235,38.72127,33.22395,45.93923,42.75602
0.161054,30.81271,35.02336,30.15302,41.49415,38.57432
0.2384641,27.604579999999988,31.39972,27.2961,37.39617,34.88638
0.358663,24.467365,27.92406,24.60711,33.57177,31.5205
0.5394487,21.521069999999998,24.67967,22.09447,30.02137,28.41167
0.7987329,18.86468493293903,21.75381,19.80623,26.80405,25.58448
1.146807,16.55447499999999,19.2034,17.79077,23.97735,23.08862
1.574636,14.643314999999996,17.08801,16.09631,21.61832,20.9857
2.04258,13.151145,15.43314,14.75826,19.75404,19.32225
2.478248,12.083909999999994,14.24494,13.79889,18.41138,18.12095
2.791584,11.446140000000002,13.53357,13.21623,17.60934,17.39109
2.906094,11.234554999999997,13.29769,13.01993,17.34307,17.1462
